NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
3079;Admisión OPSU;13;2013;O;VARGAS;;F;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;1,4615;Septiembre-Diciembre 2013
3080;Admisión OPSU;13;2013;O;VARGAS;;M;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;1,2308;Septiembre-Diciembre 2013
3081;Admisión OPSU;13;2013;P;Vargas;16,12;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;2,9231;Enero-Marzo   2014
3082;Admisión OPSU;13;2013;O;Aragua;;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;3,7075;Enero-Marzo   2018
3083;Admisión OPSU;13;2013;O;Bolívar;16,7381;F;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,8205;Enero-Marzo   2018
3084;Admisión OPSU;13;2013;O;Distrito Federal;15,1;F;COMERCIO EXTERIOR;SUSPENDIDO;2,5217;Enero-Marzo   2015
3085;Admisión OPSU;13;2013;P;VARGAS;15,95;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,7391;Enero-Marzo   2014
3086;Admisión OPSU;13;2013;O;Miranda;;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3087;Admisión OPSU;13;2013;O;MIRANDA;;F;ADMINISTRACIÓN ADUANERA;ACTIVO;3,6486;Enero-Marzo   2018
3088;Admisión OPSU;13;2013;O;Distrito Federal;;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;2,9231;Septiembre-Diciembre 2013
3089;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;17,14;M;ADMINISTRACIÓN HOTELERA;SUSPENDIDO;2,825;Septiembre - Diciembre 2014
3090;Admisión OPSU;13;2013;O;;;M;COMERCIO EXTERIOR;SUSPENDIDO;1,9231;Septiembre-Diciembre 2013
3091;Admisión OPSU;13;2013;O;Distrito Federal;15,43;M;COMERCIO EXTERIOR;SUSPENDIDO;1,4615;Septiembre-Diciembre 2013
3092;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;;M;ADMINISTRACIÓN DEL TURISMO;ACTIVO;3,8934;Enero-Marzo   2018
3093;Admisión OPSU;13;2013;P;Miranda;17,7317;F;COMERCIO INTERNACIONAL;SUSPENDIDO;3,1923;Septiembre - Diciembre 2014
3094;Admisión OPSU;13;2013;P;Distrito Federal;15;F;COMERCIO EXTERIOR;CAMBIO DE SEDE;3,8621;julio-agosto 2014
3095;Admisión OPSU;13;2013;P;Distrito Federal;16,9;F;COMERCIO EXTERIOR;CAMBIO DE SEDE;3,8738;Septiembre - Diciembre 2016
3096;Admisión OPSU;13;2013;O;;;F;COMERCIO INTERNACIONAL;SUSPENDIDO;3,7333;Abril-Julio 2015
3097;Admisión OPSU;13;2013;O;;;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3098;Admisión OPSU;13;2013;O;Bolívar;;M;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,9008;Septiembre - Diciembre 2017
3099;Admisión OPSU;13;2013;O;Vargas;13,41;M;TECNOLOGÍA MECÁNICA;ACTIVO;3,102;Enero-Marzo   2018
3100;Admisión OPSU;13;2013;P;Vargas;17,81;M;TECNOLOGÍA ELECTRÓNICA;CAMBIO DE SEDE;3,4603;Enero-Marzo   2016
3101;Admisión Regular;15;2016;O;DISTRITO CAPITAL;16,5122;M;ADMINISTRACIÓN ADUANERA;RETIRADO;2,6923;Septiembre - Diciembre 2016
