NUMERO DE ESTUDIANTE;TIPO_DE_INGRESO;COHORTE;AÑO_INGRESO;TIPO_DE_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO DE BACHILLERATO;GENERO;NOMBRE_CARRERA;DESC_SITUACION_GLOBAL;IINDICE;ULTIMO PERIODO CURSADO
16838;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;18,4878;F;Ingeniería de Telecomunicaciones;Activo Normal;4,5142;ENERO-MARZO 2018
16839;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;14,7073;M;Ingeniería Eléctrica;Activo Normal;3,9756;ENERO-MARZO 2018
16840;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;18,0243;F;Arquitectura;Activo Normal;3,7564;ENERO-MARZO 2018
16841;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;14,4634;F;Ingeniería de Producción;Activo Normal;3,4044;ENERO-MARZO 2018
16842;OPSU;2014;2014;PRIVADO;Miranda;17,4523;M;Ingeniería Mecánica;Activo Normal;3,7710;ENERO-MARZO 2018
16843;CIU;2015;2016;OFICIAL;Miranda;16,2195;M;Licenciatura en Química;Activo Normal;3,7358;ENERO-MARZO 2018
16844;OPSU;2014;2014;PRIVADO;Miranda;17,9756;F;Ingeniería de Computación;Activo Normal;3,6811;ENERO-MARZO 2018
16845;ADMISION REGULAR;2014;2014;PRIVADO;MIRANDA;14,7179;M;Comercio Exterior;Activo Normal;3,4193;ENERO-MARZO 2018
16846;OPSU;2014;2014;PRIVADO;Miranda;17,7317;F;Ingeniería Química;Activo Normal;3,2808;ENERO-MARZO 2018
16847;ADMISION REGULAR;2014;2014;PRIVADO;Sucre;16,8536;M;Licenciatura en Física;Activo Normal;3,7179;ENERO-MARZO 2018
16848;OPSU;2015;2016;SEMI-PRIVADO;Distrito Federal;15,9024;M;Ingeniería Electrónica;Activo Normal;3,6666;ENERO-MARZO 2018
16849;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;14,8536;M;Licenciatura en Física;Activo Normal;3,7380;ENERO-MARZO 2018
16850;OPSU;2014;2014;;;;M;Ingeniería Electrónica;Activo Normal;4,5;ENERO-MARZO 2018
16851;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;16,7317;F;Ingeniería de Materiales;Activo Normal;3,1954;ENERO-MARZO 2018
16852;CIU;2015;2016;OFICIAL;Miranda;16,4651;M;Ingeniería Electrónica;Activo Normal;3,7368;ENERO-MARZO 2018
16853;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;16,6585;F;Ingeniería de Materiales;Activo Normal;3,1818;ENERO-MARZO 2018
16854;CIU;2015;2016;OFICIAL;Miranda;16,1219;M;Ingeniería Electrónica;Activo Normal;3,4054;ENERO-MARZO 2018
16855;CIU;2015;2016;OFICIAL;Distrito Federal;15,2439;M;Ingeniería Electrónica;Activo Normal;3,6545;ENERO-MARZO 2018
16856;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;17,317;M;Licenciatura en Física;Activo Normal;3,8526;ENERO-MARZO 2018
16857;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;16,0975;M;Ingeniería de Producción;Activo Normal;3,2967;ENERO-MARZO 2018
16858;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;18,2926;F;Ingeniería de Computación;Activo Normal;3,9047;ENERO-MARZO 2018
16859;OPSU;2014;2014;PRIVADO;Vargas;18,1463;M;Ingeniería Química;Activo Normal;3,5056;ENERO-MARZO 2018
16860;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;13,9268;M;Licenciatura en Matemáticas;Activo Normal;3,4683;ENERO-MARZO 2018
16861;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;15,0714;F;Arquitectura;Activo Normal;3,81;ENERO-MARZO 2018
16862;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;17,3658;M;Ingeniería Mecánica;Activo Normal;4,1239;ENERO-MARZO 2018
16863;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;15,2195;M;Ingeniería de Telecomunicaciones;Activo Normal;3,6923;ENERO-MARZO 2018
16864;OPSU;2014;2014;PRIVADO;Miranda;19;F;Ingeniería Química;Activo Normal;3,9577;ENERO-MARZO 2018
16865;CIU;2015;2016;OFICIAL;Distrito Federal;16,439;M;Ingeniería Mecánica;Activo Normal;3,6727;ENERO-MARZO 2018
16866;ADMISION REGULAR;2014;2014;PRIVADO;Carabobo;19,2439;M;Ingeniería Mecánica;Activo Normal;4,3217;ENERO-MARZO 2018
16867;OPSU;2014;2014;;;;M;Arquitectura;Activo Normal;4,3428;ENERO-MARZO 2018
16868;CIU;2015;2016;OFICIAL;Miranda;16,3658;F;Ingeniería Química;Activo Normal;3,14;ENERO-MARZO 2018
16869;CIU;2015;2016;OFICIAL;Distrito Federal;17,1219;M;Ingeniería Mecánica;Activo Normal;3,3333;ENERO-MARZO 2018
16870;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;13,9024;M;Lic.en Matemáticas (Est. y Mat.Computacional);Activo Normal;3,2173;ENERO-MARZO 2018
16871;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;16,7317;M;Comercio Exterior;Activo Normal;4,2912;ENERO-MARZO 2018
16872;CIU;2015;2016;OFICIAL;Distrito Federal;14,4878;M;Ingeniería Mecánica;Activo Normal;3,1020;ENERO-MARZO 2018
16873;CIU;2015;2016;OFICIAL;Distrito Federal;15,6097;M;Ingeniería Mecánica;Activo Normal;3,5862;ENERO-MARZO 2018
16874;OPSU;2014;2014;;;;M;Ingeniería Electrónica;Activo Normal;3,4457;ENERO-MARZO 2018
16875;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;15,5121;M;Ingeniería Electrónica;Activo Normal;3,7971;ENERO-MARZO 2018
16876;OPSU;2014;2014;PRIVADO;Distrito Federal;18,7073;M;Ingeniería de Computación;Activo Normal;3,625;ENERO-MARZO 2018
16877;CIU;2015;2016;OFICIAL;Miranda;16,619;F;Ingeniería Química;Activo Normal;3,5526;ENERO-MARZO 2018
16878;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;17;M;Ingeniería Química;Activo Normal;4,0491;ENERO-MARZO 2018
16879;CIU;2015;2016;PRIVADO;Miranda;15,0243;M;Ingeniería Mecánica;Activo Normal;3,8823;ENERO-MARZO 2018
16880;OPSU;2014;2014;;;;M;Licenciatura en Química;Activo Normal;3,96;ENERO-MARZO 2018
16881;OPSU;2015;2016;PRIVADO;Miranda;16,7317;M;Licenciatura en Matemáticas;Activo Normal;3,1363;ENERO-MARZO 2018
16882;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Distrito Federal;17,4634;F;Arquitectura;Activo Normal;3,8105;ENERO-MARZO 2018
16883;ADMISION REGULAR;2015;2016;PRIVADO;Miranda;17,9512;M;Ingeniería de Materiales;Activo Normal;4,6086;ENERO-MARZO 2018
16884;ADMISION REGULAR;2015;2016;PRIVADO;Aragua;18,6829;M;Lic.en Matemáticas (Est. y Mat.Computacional);Activo Normal;3,9607;ENERO-MARZO 2018
16885;OPSU;2014;2014;OFICIAL;Miranda;17,4146;M;Ingeniería Eléctrica;Activo Normal;3,5;ENERO-MARZO 2018
16886;OPSU;2014;2014;;;;M;Organización Empresarial;Activo Normal;4,3942;ENERO-MARZO 2018
16887;ADMISION REGULAR;2015;2016;PRIVADO;Lara;19,8536;F;Ingeniería Geofísica;Activo Normal;3,8541;ENERO-MARZO 2018
16888;ADMISION REGULAR;2014;2014;SEMI-PRIVADO;Miranda;19,0487;M;Ingeniería Eléctrica;Activo Normal;3,4607;ENERO-MARZO 2018
16889;ADMISION REGULAR;2014;2014;PRIVADO;Miranda;16,4878;M;Comercio Exterior;Activo Normal;4,1192;ENERO-MARZO 2018
16890;ADMISION REGULAR;2014;2014;PRIVADO;Distrito Federal;16,9268;F;Ingeniería Química;Activo Normal;3,2619;ENERO-MARZO 2018
